betas_N_pop,1,-0.568362,-0.620287,-0.457904,-0.478896,0.198412,-0.546357,-0.0477601,-0.37904,-0.653555,0.0557771,-0.0415856,0.252515,0.174142,0.284423
beta_betas_N_CD40PanCovConv_1,-0.568362,1,0.681014,0.479639,0.589864,-0.307877,0.230984,-0.0688621,0.287759,0.745899,-0.0899906,0.139964,-0.239758,-0.242366,-0.342931
beta_betas_N_CD40RBDvConv_1,-0.620287,0.681014,1,0.522548,0.605238,-0.319712,0.211087,-0.117971,0.313424,0.877364,-0.0274774,0.112814,-0.286201,-0.275724,-0.486868
beta_betas_N_mRNAConv_1,-0.457904,0.479639,0.522548,1,0.497092,-0.262652,0.155062,-0.0653833,0.228376,0.571649,-0.252452,0.0532271,-0.165315,-0.210054,-0.265315
delta_N_pop,-0.478896,0.589864,0.605238,0.497092,1,-0.540139,0.25831,-0.013721,0.279041,0.614406,0.0475682,0.0774395,-0.135312,-0.141913,-0.283846
beta_delta_N_Conv_1,0.198412,-0.307877,-0.319712,-0.262652,-0.540139,1,-0.0330214,0.00604736,-0.0464139,-0.315718,-0.0180691,-0.0726194,0.0623976,0.0799063,0.181592
P_N_pop,-0.546357,0.230984,0.211087,0.155062,0.25831,-0.0330214,1,-0.0588495,0.194548,0.272028,0.0956277,-0.0405853,-0.0643668,-0.163157,0.0294131
fact_P_T_pop,-0.0477601,-0.0688621,-0.117971,-0.0653833,-0.013721,0.00604736,-0.0588495,1,0.00330778,-0.0704009,0.0130732,-0.15595,0.155852,0.111037,0.0540353
alpha_VLSG_pop,-0.37904,0.287759,0.313424,0.228376,0.279041,-0.0464139,0.194548,0.00330778,1,0.340288,-0.0187547,-0.026946,-0.181279,-0.0582905,-0.110443
omega_betas_N,-0.653555,0.745899,0.877364,0.571649,0.614406,-0.315718,0.272028,-0.0704009,0.340288,1,-0.0899052,0.0967745,-0.261857,-0.266965,-0.438586
omega_delta_N,0.0557771,-0.0899906,-0.0274774,-0.252452,0.0475682,-0.0180691,0.0956277,0.0130732,-0.0187547,-0.0899052,1,-0.0960737,0.00698746,0.0264692,0.0305918
a1,-0.0415856,0.139964,0.112814,0.0532271,0.0774395,-0.0726194,-0.0405853,-0.15595,-0.026946,0.0967745,-0.0960737,1,-0.0472315,-0.0685122,-0.0917038
a2,0.252515,-0.239758,-0.286201,-0.165315,-0.135312,0.0623976,-0.0643668,0.155852,-0.181279,-0.261857,0.00698746,-0.0472315,1,0.106671,0.157953
a3,0.174142,-0.242366,-0.275724,-0.210054,-0.141913,0.0799063,-0.163157,0.111037,-0.0582905,-0.266965,0.0264692,-0.0685122,0.106671,1,0.149732
a4,0.284423,-0.342931,-0.486868,-0.265315,-0.283846,0.181592,0.0294131,0.0540353,-0.110443,-0.438586,0.0305918,-0.0917038,0.157953,0.149732,1
