"Time";"AnimalID";"Group";"log10ECL";"ECL"
0;101;"Naive";5.50399548487164;319150.467455447
4;101;"Naive";5.44053256629143;275760.82284164
9;101;"Naive";5.36120391806616;229722.703191372
20;101;"Naive";5.18668089197056;153702.486031809
0;102;"Naive";5.79378986884444;621999.261201163
4;102;"Naive";5.69522338003185;495705.091917941
9;102;"Naive";5.57201526901612;373263.280833433
20;102;"Naive";5.30095742478151;199966.582665675
0;103;"Naive";5.5524770109436;356842.859571333
4;103;"Naive";5.55643896071626;360113.133604908
9;103;"Naive";5.56139139793209;364243.154031586
20;103;"Naive";5.57228675980691;373496.692098626
0;104;"Naive";5.42733813555766;267508.838414216
4;104;"Naive";5.35185935413189;224832.636949808
9;104;"Naive";5.25751087734968;180930.122548683
20;104;"Naive";5.0499442284288;112187.437530286
0;105;"Naive";5.64186598384592;438395.395271312
4;105;"Naive";5.64075864467168;437279.02365823
9;105;"Naive";5.63937447070388;435887.556029213
20;105;"Naive";5.63632928797471;432841.893250943
0;106;"Naive";5.67938832785096;477956.451193785
4;106;"Naive";5.59237332891021;391177.015509298
9;106;"Naive";5.48360458023427;304512.118180741
20;106;"Naive";5.24431333314719;175514.63415226
0;201;"Convalescent";5.17895098985464;150990.975118845
4;201;"Convalescent";5.13611705162529;136809.750736614
9;201;"Convalescent";1.92492305604071;84.1246084861038
20;201;"Convalescent";1.7479703683499;55.9719410875042
0;202;"Convalescent";5.18494312937752;153088.697975154
4;202;"Convalescent";5.14414711770454;139362.881619494
9;202;"Convalescent";1.8861706845464;76.9432780027195
20;202;"Convalescent";1.71397033474875;51.7571477109676
0;203;"Convalescent";5.26231139042404;182941.143940718
4;203;"Convalescent";5.22386625371591;167442.71363517
9;203;"Convalescent";1.78621397655241;61.124310973065
20;203;"Convalescent";1.6175667031353;41.4540248238296
0;204;"Convalescent";5.24651072878635;176404.934291345
4;204;"Convalescent";5.19725825320838;157491.911169954
9;204;"Convalescent";1.90154033702245;79.7150526035815
20;204;"Convalescent";1.70579038267409;50.7914232626451
0;205;"Convalescent";5.21198083439949;162922.413269818
4;205;"Convalescent";5.16953402904001;147752.224795564
9;205;"Convalescent";1.82515759004547;66.858647984904
20;205;"Convalescent";1.64681062115459;44.3415245713852
0;206;"Convalescent";5.16026563007476;144632.412395278
4;206;"Convalescent";5.12164337468467;132325.44851032
9;206;"Convalescent";1.88582370664421;76.8818290178439
20;206;"Convalescent";1.72011558264095;52.4947150499823
0;301;"Conv-CD40";5.11958399424928;131699.459999226
4;301;"Conv-CD40";5.08794433391792;122445.924305207
9;301;"Conv-CD40";1.85289778927009;71.2685280688445
20;301;"Conv-CD40";1.70761648892241;51.0054388901763
0;302;"Conv-CD40";5.11715201879388;130964.026428949
4;302;"Conv-CD40";5.09278308346295;123817.800079988
9;302;"Conv-CD40";1.89035248216276;77.6877390184952
20;302;"Conv-CD40";1.76846774123096;58.6769783585041
0;303;"Conv-CD40";5.17855745874895;150854.218298837
4;303;"Conv-CD40";5.14330034193494;139091.420328875
9;303;"Conv-CD40";1.82370894375588;66.6360037186044
20;303;"Conv-CD40";1.66630250272338;46.3769840698375
0;304;"Conv-CD40";5.34873613369923;223221.557323147
4;304;"Conv-CD40";5.30636568974086;202472.334242872
9;304;"Conv-CD40";1.93922134824747;86.9403427989911
20;304;"Conv-CD40";1.76067397964496;57.6333653274411
0;305;"Conv-CD40";5.22378641704137;167411.935346859
4;305;"Conv-CD40";5.18508735420995;153139.545635621
9;305;"Conv-CD40";1.71614206292853;52.0166121277717
20;305;"Conv-CD40";1.54623747500377;35.1752728595831
0;306;"Conv-CD40";5.28281614286859;191785.665051966
4;306;"Conv-CD40";5.23686100284477;172528.56211618
9;306;"Conv-CD40";1.99078089668488;97.8995953397482
20;306;"Conv-CD40";1.80474201599838;63.7884451047868
