"AnimalID";"Group";"a";"b";"R0";"Rf";"k";"x0"
101;"Naive";-0.015865729645054;5.50399548487164;NA;NA;NA;NA
102;"Naive";-0.0246416222031463;5.79378986884444;NA;NA;NA;NA
103;"Naive";0.000990487443165263;5.5524770109436;NA;NA;NA;NA
104;"Naive";-0.018869695356443;5.42733813555766;NA;NA;NA;NA
105;"Naive";-0.000276834793560724;5.64186598384592;NA;NA;NA;NA
106;"Naive";-0.0217537497351886;5.67938832785096;NA;NA;NA;NA
201;"Convalescent";NA;NA;5.17907963220259;1.74797034766485;1.45590294606158;7
202;"Convalescent";NA;NA;5.18505592317781;1.71397031870522;1.47634058370257;7
203;"Convalescent";NA;NA;5.26240306163562;1.6175666926671;1.51294121294285;7
204;"Convalescent";NA;NA;5.24668236019895;1.70579034828035;1.41921307632524;7
205;"Convalescent";NA;NA;5.212100283536;1.64681060371359;1.47197595947937;7
206;"Convalescent";NA;NA;5.16036591917427;1.72011556964386;1.49185266290843;7
301;"Conv-CD40";NA;NA;5.11964728402338;1.70761648335539;1.55643941372147;7
302;"Conv-CD40";NA;NA;5.11718709224001;1.76846773934079;1.63809053579971;7
303;"Conv-CD40";NA;NA;5.17863603188013;1.66630249460812;1.52967700436923;7
304;"Conv-CD40";NA;NA;5.34885403554586;1.76067396271435;1.4747529084897;7
305;"Conv-CD40";NA;NA;5.22387839465429;1.5462374645511;1.51374454758106;7
306;"Conv-CD40";NA;NA;5.28296533898404;1.80474198907466;1.43667537755966;7
