"AnimalID";"Time";"log10VL";"obs";"Group";"type";"organ";"Weight";"ECL";"ECL.Slope";"ECL.Intercept";"censored"
101;0;2.67760695272049;1;"Naive";"Total";"Trachea";5.00632976578781;523277.626759701;-16815.2152397047;523277.626759701;1
101;1;5.66745244981804;1;"Naive";"Total";"Trachea";5.00632976578781;506462.411519996;-16815.2152397047;523277.626759701;0
101;2;3.70812108300861;1;"Naive";"Total";"Trachea";5.00632976578781;489647.196280292;-16815.2152397047;523277.626759701;0
101;3;4.42351391725231;1;"Naive";"Total";"Trachea";5.00632976578781;472831.981040587;-16815.2152397051;523277.626759702;0
101;4;4.77150437765789;1;"Naive";"Total";"Trachea";5.00632976578781;456016.765800882;-14410.3573554208;513658.195222565;0
101;5;NA;1;"Naive";"Total";"Trachea";5.00632976578781;441606.408445461;-14410.3573554208;513658.195222565;0
101;6;2.67760695272049;1;"Naive";"Total";"Trachea";5.00632976578781;427196.05109004;-14410.3573554208;513658.195222565;1
101;7;NA;1;"Naive";"Total";"Trachea";5.00632976578781;412785.693734619;-14410.3573554208;513658.195222565;1
101;8;NA;1;"Naive";"Total";"Trachea";5.00632976578781;398375.336379199;-14410.3573554201;513658.19522256;1
101;9;2.67760695272049;1;"Naive";"Total";"Trachea";5.00632976578781;383964.979023778;-10995.7352189535;482926.59599436;1
101;10;NA;1;"Naive";"Total";"Trachea";5.00632976578781;372969.243804825;-10995.7352189535;482926.59599436;1
101;11;NA;1;"Naive";"Total";"Trachea";5.00632976578781;361973.508585871;-10995.7352189535;482926.59599436;1
101;12;NA;1;"Naive";"Total";"Trachea";5.00632976578781;350977.773366918;-10995.7352189535;482926.595994359;1
101;13;NA;1;"Naive";"Total";"Trachea";5.00632976578781;339982.038147965;-10995.7352189535;482926.59599436;1
101;14;2.67760695272049;1;"Naive";"Total";"Trachea";5.00632976578781;328986.302929011;-10995.7352189535;482926.59599436;1
101;15;NA;1;"Naive";"Total";"Trachea";5.00632976578781;317990.567710057;-10995.7352189535;482926.595994359;1
101;16;NA;1;"Naive";"Total";"Trachea";5.00632976578781;306994.832491104;-10995.7352189535;482926.59599436;1
101;17;NA;1;"Naive";"Total";"Trachea";5.00632976578781;295999.097272151;-10995.7352189535;482926.59599436;1
101;18;NA;1;"Naive";"Total";"Trachea";5.00632976578781;285003.362053197;-10995.7352189535;482926.595994359;1
101;19;NA;1;"Naive";"Total";"Trachea";5.00632976578781;274007.626834244;-10995.7352189546;482926.59599438;1
101;20;2.67760695272049;1;"Naive";"Total";"Trachea";5.00632976578781;263011.891615289;0;263011.891615289;1
101;0;2.87448181769947;2;"Naive";"Sg";"Trachea";5.00632976578781;523277.626759701;-16815.2152397047;523277.626759701;1
101;1;4.40653632874119;2;"Naive";"Sg";"Trachea";5.00632976578781;506462.411519996;-16815.2152397047;523277.626759701;0
101;2;2.87448181769947;2;"Naive";"Sg";"Trachea";5.00632976578781;489647.196280292;-16815.2152397047;523277.626759701;1
101;3;2.87448181769947;2;"Naive";"Sg";"Trachea";5.00632976578781;472831.981040587;-16815.2152397051;523277.626759702;1
101;4;2.87448181769947;2;"Naive";"Sg";"Trachea";5.00632976578781;456016.765800882;-14410.3573554208;513658.195222565;1
101;5;NA;2;"Naive";"Sg";"Trachea";5.00632976578781;441606.408445461;-14410.3573554208;513658.195222565;0
101;6;2.87448181769947;2;"Naive";"Sg";"Trachea";5.00632976578781;427196.05109004;-14410.3573554208;513658.195222565;1
101;7;NA;2;"Naive";"Sg";"Trachea";5.00632976578781;412785.693734619;-14410.3573554208;513658.195222565;1
101;8;NA;2;"Naive";"Sg";"Trachea";5.00632976578781;398375.336379199;-14410.3573554201;513658.19522256;1
101;9;NA;2;"Naive";"Sg";"Trachea";5.00632976578781;383964.979023778;-10995.7352189535;482926.59599436;1
101;10;NA;2;"Naive";"Sg";"Trachea";5.00632976578781;372969.243804825;-10995.7352189535;482926.59599436;1
101;11;NA;2;"Naive";"Sg";"Trachea";5.00632976578781;361973.508585871;-10995.7352189535;482926.59599436;1
101;12;NA;2;"Naive";"Sg";"Trachea";5.00632976578781;350977.773366918;-10995.7352189535;482926.595994359;1
101;13;NA;2;"Naive";"Sg";"Trachea";5.00632976578781;339982.038147965;-10995.7352189535;482926.59599436;1
101;14;NA;2;"Naive";"Sg";"Trachea";5.00632976578781;328986.302929011;-10995.7352189535;482926.59599436;1
101;15;NA;2;"Naive";"Sg";"Trachea";5.00632976578781;317990.567710057;-10995.7352189535;482926.595994359;1
101;16;NA;2;"Naive";"Sg";"Trachea";5.00632976578781;306994.832491104;-10995.7352189535;482926.59599436;1
101;17;NA;2;"Naive";"Sg";"Trachea";5.00632976578781;295999.097272151;-10995.7352189535;482926.59599436;1
101;18;NA;2;"Naive";"Sg";"Trachea";5.00632976578781;285003.362053197;-10995.7352189535;482926.595994359;1
101;19;NA;2;"Naive";"Sg";"Trachea";5.00632976578781;274007.626834244;-10995.7352189546;482926.59599438;1
101;20;NA;2;"Naive";"Sg";"Trachea";5.00632976578781;263011.891615289;0;263011.891615289;1
101;0;2.67760695272049;3;"Naive";"Total";"Naso";5.00632976578781;523277.626759701;-16815.2152397047;523277.626759701;1
101;1;8.77433615937104;3;"Naive";"Total";"Naso";5.00632976578781;506462.411519996;-16815.2152397047;523277.626759701;0
101;2;6.51440304433926;3;"Naive";"Total";"Naso";5.00632976578781;489647.196280292;-16815.2152397047;523277.626759701;0
101;3;6.38684019214392;3;"Naive";"Total";"Naso";5.00632976578781;472831.981040587;-16815.2152397051;523277.626759702;0
101;4;5.35363837241449;3;"Naive";"Total";"Naso";5.00632976578781;456016.765800882;-14410.3573554208;513658.195222565;0
101;5;NA;3;"Naive";"Total";"Naso";5.00632976578781;441606.408445461;-14410.3573554208;513658.195222565;0
101;6;5.91129617855928;3;"Naive";"Total";"Naso";5.00632976578781;427196.05109004;-14410.3573554208;513658.195222565;0
101;7;NA;3;"Naive";"Total";"Naso";5.00632976578781;412785.693734619;-14410.3573554208;513658.195222565;0
101;8;NA;3;"Naive";"Total";"Naso";5.00632976578781;398375.336379199;-14410.3573554201;513658.19522256;0
101;9;3.86634510190748;3;"Naive";"Total";"Naso";5.00632976578781;383964.979023778;-10995.7352189535;482926.59599436;0
101;10;NA;3;"Naive";"Total";"Naso";5.00632976578781;372969.243804825;-10995.7352189535;482926.59599436;1
101;11;NA;3;"Naive";"Total";"Naso";5.00632976578781;361973.508585871;-10995.7352189535;482926.59599436;1
101;12;NA;3;"Naive";"Total";"Naso";5.00632976578781;350977.773366918;-10995.7352189535;482926.595994359;0
101;13;NA;3;"Naive";"Total";"Naso";5.00632976578781;339982.038147965;-10995.7352189535;482926.59599436;0
101;14;2.99949734889647;3;"Naive";"Total";"Naso";5.00632976578781;328986.302929011;-10995.7352189535;482926.59599436;0
101;15;NA;3;"Naive";"Total";"Naso";5.00632976578781;317990.567710057;-10995.7352189535;482926.595994359;1
101;16;NA;3;"Naive";"Total";"Naso";5.00632976578781;306994.832491104;-10995.7352189535;482926.59599436;1
101;17;NA;3;"Naive";"Total";"Naso";5.00632976578781;295999.097272151;-10995.7352189535;482926.59599436;1
101;18;NA;3;"Naive";"Total";"Naso";5.00632976578781;285003.362053197;-10995.7352189535;482926.595994359;1
101;19;NA;3;"Naive";"Total";"Naso";5.00632976578781;274007.626834244;-10995.7352189546;482926.59599438;1
101;20;2.67760695272049;3;"Naive";"Total";"Naso";5.00632976578781;263011.891615289;0;263011.891615289;1
101;0;2.87448181769947;4;"Naive";"Sg";"Naso";5.00632976578781;523277.626759701;-16815.2152397047;523277.626759701;1
101;1;3.87905796344829;4;"Naive";"Sg";"Naso";5.00632976578781;506462.411519996;-16815.2152397047;523277.626759701;0
101;2;4.92332053010819;4;"Naive";"Sg";"Naso";5.00632976578781;489647.196280292;-16815.2152397047;523277.626759701;0
