"AnimalID";"Time";"log10VL";"obs";"Group";"type";"organ";"Weight";"censored";"ECL";"ECL.Slope";"ECL.Intercept";"Marker2";"Marker2.Slope";"Marker2.Intercept";"Marker3";"Marker3.Slope";"Marker3.Intercept"
101;0;2.67760695272049;1;"Naive";"Total";"Trachea";5.00632976578781;1;1059972.00303364;-227223.928276344;1059972.00303364;154557.459254329;82809.9087806345;154557.459254329;149553.121147568;62707.3712216968;149553.121147568
101;1;5.66745244981804;1;"Naive";"Total";"Trachea";5.00632976578781;0;832748.074757296;-227223.928276344;1059972.00303364;237367.368034963;82809.9087806345;154557.459254329;212260.492369265;62707.3712216968;149553.121147568
101;2;3.70812108300861;1;"Naive";"Total";"Trachea";5.00632976578781;0;605524.146480952;-227223.928276344;1059972.00303364;320177.276815598;82809.9087806345;154557.459254329;274967.863590961;62707.3712216968;149553.121147568
101;3;4.42351391725231;1;"Naive";"Total";"Trachea";5.00632976578781;0;378300.218204608;-227223.928276344;1059972.00303364;402987.185596232;82809.9087806345;154557.459254329;337675.234812658;62707.3712216967;149553.121147568
101;4;4.77150437765789;1;"Naive";"Total";"Trachea";5.00632976578781;0;151076.289928264;26405.345232991;45454.9089963;485797.094376867;-50158.287291649;686430.243543463;400382.606034355;-8140.27363062178;432943.700556842
101;5;NA;1;"Naive";"Total";"Trachea";5.00632976578781;0;177481.635161255;26405.345232991;45454.9089963001;435638.807085218;-50158.287291649;686430.243543463;392242.332403733;-8140.27363062178;432943.700556842
101;6;2.67760695272049;1;"Naive";"Total";"Trachea";5.00632976578781;1;203886.980394246;26405.345232991;45454.9089963001;385480.519793569;-50158.287291649;686430.243543463;384102.058773111;-8140.27363062178;432943.700556842
101;7;NA;1;"Naive";"Total";"Trachea";5.00632976578781;1;230292.325627237;26405.345232991;45454.9089962997;335322.23250192;-50158.287291649;686430.243543463;375961.78514249;-8140.27363062184;432943.700556843
101;8;NA;1;"Naive";"Total";"Trachea";5.00632976578781;1;256697.670860228;26405.345232991;45454.9089963002;285163.945210271;-50158.2872916491;686430.243543464;367821.511511868;-8140.27363062178;432943.700556842
101;9;2.67760695272049;1;"Naive";"Total";"Trachea";5.00632976578781;1;283103.016093219;2770.74941851775;258166.271326559;235005.657918622;-11427.9239240291;337856.973234884;359681.237881246;19221.0920792627;186691.409167882
101;10;NA;1;"Naive";"Total";"Trachea";5.00632976578781;1;285873.765511737;2770.74941851769;258166.27132656;223577.733994593;-11427.9239240291;337856.973234884;378902.329960509;19221.0920792627;186691.409167882
101;11;NA;1;"Naive";"Total";"Trachea";5.00632976578781;1;288644.514930254;2770.74941851775;258166.271326559;212149.810070564;-11427.9239240291;337856.973234884;398123.422039771;19221.0920792627;186691.409167882
101;12;NA;1;"Naive";"Total";"Trachea";5.00632976578781;1;291415.264348772;2770.74941851775;258166.271326559;200721.886146535;-11427.9239240291;337856.973234884;417344.514119034;19221.0920792628;186691.409167881
101;13;NA;1;"Naive";"Total";"Trachea";5.00632976578781;1;294186.01376729;2770.74941851769;258166.27132656;189293.962222506;-11427.9239240291;337856.973234884;436565.606198297;19221.0920792628;186691.409167881
101;14;2.67760695272049;1;"Naive";"Total";"Trachea";5.00632976578781;1;296956.763185808;2770.74941851775;258166.271326559;177866.038298477;-11427.9239240291;337856.973234884;455786.69827756;19221.0920792627;186691.409167882
