betas_N_pop,1,-0.152314,-0.0931762,-0.654957,-0.0640448,-0.202314,-0.215076,-0.20777,-0.211796,-0.215434,-0.310187,-0.279908,-0.242609,0.230079,0.103738,-0.0418113,0.0313599,0.136972,-0.020931,-0.0159046,-0.0311652,-0.0671255,-0.121485,0.0371303,-0.0204683,0.0348057,0.0119814,0.0264932,0.0438477,0.0589174,-0.0658879
delta_N_pop,-0.152314,1,-0.423895,0.160804,-0.0240529,0.126484,-0.199062,-0.240391,-0.234918,-0.219911,0.151967,0.0938725,-0.236757,0.245168,0.0505862,-0.180463,-0.14088,-0.0700424,-0.150032,-0.123938,-0.10641,0.258089,0.0125563,0.00111226,-0.136157,0.035968,0.0984303,0.024782,0.0460366,0.0808115,-0.112564
beta_delta_N_Conv_1,-0.0931762,-0.423895,1,0.111495,0.0794653,-0.0516423,0.238586,0.237984,0.233804,0.231079,-0.0802418,0.00763626,0.261389,-0.255395,-0.100161,0.117873,0.116433,-0.223075,0.20028,0.189926,0.188449,-0.0552235,0.0278281,-0.00642441,-0.0272439,-0.0237943,0.054638,-0.0301183,-0.0164758,-0.0770302,0.0955367
P_N_pop,-0.654957,0.160804,0.111495,1,0.0178119,0.29047,-0.0543996,-0.0411238,-0.0329359,-0.0271183,0.18159,0.149028,-0.0349777,0.0464839,0.0198416,-0.0951031,-0.129204,0.221375,-0.124275,-0.0913488,-0.0786884,0.140487,-0.0375766,0.0599154,-0.0238517,-0.123306,0.0483531,-0.0747061,0.174542,-0.000976641,-0.02042
fact_P_T_pop,-0.0640448,-0.0240529,0.0794653,0.0178119,1,-0.0415176,0.181435,0.173138,0.171441,0.172128,0.132454,0.0451893,0.191226,-0.188116,-0.0874669,0.0858944,0.0389861,-0.0764867,0.0461019,0.0410496,0.0450667,0.0273922,0.0726583,-0.0255518,0.0471535,-0.0339842,-0.0210118,-0.005231,-0.0305367,-0.0459512,0.0620916
alpha_VLSG_pop,-0.202314,0.126484,-0.0516423,0.29047,-0.0415176,1,-0.16412,-0.14559,-0.14538,-0.145248,0.114754,0.00531276,-0.166405,0.167209,0.0784107,-0.106739,-0.128995,0.181905,-0.110816,-0.106517,-0.102561,-0.0148524,-0.0696341,0.0428742,-0.0336022,-0.0409473,-0.0379438,0.00254225,0.149011,0.041384,-0.0603306
beta_S0_GroupEffect_CD40RBDv,-0.215076,-0.199062,0.238586,-0.0543996,0.181435,-0.16412,1,0.797004,0.788889,0.791666,-0.297003,-0.0185192,0.925979,-0.894294,-0.54303,0.499914,0.479845,-0.283859,0.18541,0.127275,0.126791,-0.0484804,0.277211,-0.0975485,0.294555,-0.0543006,-0.134682,-0.0245214,-0.245607,-0.189756,0.279892
beta_S0_GroupEffect_CD40RBDvConv,-0.20777,-0.240391,0.237984,-0.0411238,0.173138,-0.14559,0.797004,1,0.795012,0.793001,-0.265132,-0.00571246,0.857649,-0.889082,-0.271851,0.576536,0.418674,-0.219111,0.127429,0.0949055,0.0979898,-0.0676848,0.255904,-0.10702,0.264563,-0.0598681,-0.126831,-0.0235898,-0.19071,-0.2448,0.297617
beta_S0_GroupEffect_mRNAConv,-0.211796,-0.234918,0.233804,-0.0329359,0.171441,-0.14538,0.788889,0.795012,1,0.793049,-0.25921,-0.00606263,0.848901,-0.888121,-0.255998,0.5869,0.416742,-0.220153,0.15014,0.0961531,0.0821222,-0.0439973,0.235032,-0.0736768,0.272928,-0.0709965,-0.128727,-0.0239489,-0.20276,-0.220289,0.281539
beta_S0_GroupEffect_PanCoVConv,-0.215434,-0.219911,0.231079,-0.0271183,0.172128,-0.145248,0.791666,0.793001,0.793049,1,-0.265673,0.00116953,0.85359,-0.885987,-0.26784,0.570546,0.420881,-0.222563,0.146082,0.0542014,0.1031,-0.0248682,0.224396,-0.0381038,0.2668,-0.0678141,-0.127334,-0.0224569,-0.202509,-0.257171,0.310807
rho_pop,-0.310187,0.151967,-0.0802418,0.18159,0.132454,0.114754,-0.297003,-0.265132,-0.25921,-0.265673,1,-0.154651,-0.341682,0.292708,0.142578,-0.162357,-0.158141,-0.0320216,-0.0280565,-0.0105058,-0.00712697,0.0412222,0.0356005,-0.0354706,-0.116261,0.0186113,0.0565956,0.000674639,0.0688399,0.102968,-0.124786
